,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
RIPK1,3.89062362522242e-17,0.469425524243103,0.097,0.148,6.69031638593247e-13,RIPK1
PHPT1,3.92439670666703e-17,-0.511408515383418,0.052,0.335,6.74839257678463e-13,PHPT1
NAA50,4.03563527886745e-17,-0.168609029749354,0.082,0.293,6.93967842554047e-13,NAA50
NF1,4.05600444368136e-17,0.599764463378967,0.142,0.101,6.97470524135447e-13,NF1
PNKP,4.15881670712062e-17,-0.119787241579785,0.037,0.213,7.15150120956463e-13,PNKP
SNRNP27,4.16337838291573e-17,-0.441249743615357,0.045,0.313,7.15934546726188e-13,SNRNP27
STOML2,4.18882701857266e-17,-0.327712957443932,0.045,0.288,7.20310694113755e-13,STOML2
ACAA2,4.21343437012534e-17,-0.683598437521194,0.075,0.391,7.24542174286754e-13,ACAA2
VAPB,4.30529795166145e-17,0.086069722873441,0.097,0.223,7.40339035767703e-13,VAPB
S100A1,4.37085514494405e-17,-0.617478869207182,0.022,0.304,7.51612250724579e-13,S100A1
AI413582,4.38544304992245e-17,-0.445513187386782,0.045,0.311,7.54120786864665e-13,AI413582
SETDB2,4.52988705008751e-17,0.487387220693223,0.112,0.12,7.78959377133048e-13,SETDB2
TMEM41B,4.61187770900407e-17,0.379998460543922,0.127,0.158,7.93058490840341e-13,TMEM41B
MRPS17,4.62017500708254e-17,-0.522790778535031,0.022,0.289,7.94485294217913e-13,MRPS17
EDEM3,4.64712404030512e-17,0.678403457008816,0.142,0.05,7.99119449970868e-13,EDEM3
FEM1B,4.65214647768266e-17,0.371213189606865,0.142,0.215,7.9998310830231e-13,FEM1B
BFAR,4.6826376083499e-17,0.140802437093778,0.09,0.223,8.05226363131848e-13,BFAR
WAS,4.75209937254504e-17,-0.451978801808253,0.045,0.307,8.17171008102844e-13,WAS
SSH2,4.78564950998411e-17,0.684827014285831,0.104,0.095,8.22940289736868e-13,SSH2
LPGAT1,4.88208209627271e-17,0.23151714969974,0.09,0.149,8.39522837275055e-13,LPGAT1
UFD1,4.91843891980929e-17,-0.170340328978969,0.037,0.218,8.45774756650405e-13,UFD1
PSMD10,4.93823788426846e-17,-0.376480981875625,0.09,0.362,8.49179386578805e-13,PSMD10
SVBP,4.94453735436618e-17,-0.598008256889749,0.007,0.28,8.50262643456808e-13,SVBP
NOLC1,4.98522425021178e-17,-0.0268606948369796,0.082,0.247,8.57259162066418e-13,NOLC1
ANKIB1,5.0007010160358e-17,0.384710733836129,0.09,0.121,8.59920546717516e-13,ANKIB1
FNDC3A,5.00934190458645e-17,0.35792484831924,0.097,0.148,8.61406433912686e-13,FNDC3A
PDHX,5.05338941746142e-17,0.314173783599408,0.104,0.144,8.68980844226666e-13,PDHX
ALG2,5.07298873274923e-17,0.432811563324004,0.104,0.127,8.72351142483558e-13,ALG2
VPS26A,5.08201206023999e-17,0.231590124910901,0.112,0.209,8.73902793878868e-13,VPS26A
GOPC,5.13628568708609e-17,0.222458093716971,0.104,0.181,8.83235686751325e-13,GOPC
KRI1,5.36546023185607e-17,0.226363020431973,0.06,0.127,9.22644541469969e-13,KRI1
CTSL,5.42451578924522e-17,0.51557030502917,0.246,0.311,9.32799735118608e-13,CTSL
DICER1,5.47104317134303e-17,0.470068006921991,0.127,0.122,9.40800583744147e-13,DICER1
MFSD14A,5.52245486522423e-17,0.317242850674003,0.097,0.142,9.49641338623958e-13,MFSD14A
