p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.000259003234725521,0.0354344193688216,0.722,0.616,1,1,DBNL
0.000259915041650234,-0.194507796090184,0.049,0.115,1,1,PKMYT1
0.000263940819566578,0.152576716910326,0.267,0.161,1,1,3830406C13RIK
0.00026598965390906,-0.230993914274334,0.184,0.247,1,1,VPS36
0.000266435009540101,-0.234222780307853,0.417,0.434,1,1,TBC1D1
0.000267638112680126,0.0417204980360002,0.233,0.155,1,1,PRMT2
0.000269291070756767,-0.408869059010342,0.211,0.262,1,1,HIST1H1C
0.000270806565913424,-0.27509157105483,0.293,0.357,1,1,BBX
0.000271671067347488,-0.198446366604772,0.677,0.688,1,1,TCP1
0.000272189016545812,-0.232683284942754,0.079,0.17,1,1,AHI1
0.000277090446128594,-0.194590194383873,0.59,0.582,1,1,SLC25A11
0.000277919803771617,-0.190934655419477,0.207,0.247,1,1,VRK3
0.000280229867505624,-0.156635710584823,0.041,0.1,1,1,INTS7
0.000280246227019782,-0.122460688081438,0.35,0.325,1,1,FRG1
0.000282276531482301,-0.260212733213127,0.124,0.222,1,1,SH3PXD2A
0.000283167860336993,-0.201294246498643,0.229,0.255,1,1,GABPB1
0.000283979157435768,0.200353137127784,0.575,0.439,1,1,TMOD3
0.000284782491003717,0.161778541381143,0.361,0.247,1,1,GNS
0.000285028134135936,-0.185630797841659,0.481,0.476,1,1,SEC62
0.000285397935745061,-0.266298725760092,0.184,0.26,1,1,ANKRD27
0.000286066589803073,0.0516872870767899,0.297,0.213,1,1,ACLY
0.000286187106066665,-0.219168705732849,0.278,0.341,1,1,NDUFA5
0.000286328593322165,-0.231745022687485,0.158,0.23,1,1,PUS1
0.000287731744201605,0.362763244871007,0.748,0.636,1,1,TXNDC17
0.000288735714665249,0.236030927829897,0.199,0.106,1,1,PLXND1
0.000289167266020276,-0.252640341423789,0.402,0.482,1,1,DHX9
0.000291138382398622,-0.0768406419204366,0.335,0.3,1,1,RAB18
0.000292352158573761,-0.0641442080592547,0.669,0.608,1,1,NDUFS5
0.000294006284130865,0.0160639693644373,0.59,0.498,1,1,MRPL20
0.000294344294760713,-0.268954838967033,0.327,0.408,1,1,RLIM
0.000296469542300639,-0.212339228379965,0.305,0.317,1,1,HNRNPUL1
0.000299040497903383,-0.173308976948061,0.714,0.682,1,1,CAPNS1
0.000299767890686659,-0.205617821379441,0.094,0.176,1,1,POLR2D
0.000300670163227903,-0.185603864158791,0.955,0.975,1,1,RPS13
0.00030174394049885,0.204077921544536,0.534,0.398,1,1,GRN
0.000301937611848289,-0.187736561936658,0.177,0.202,1,1,RNF111
0.000302660069567506,0.207397131996939,0.872,0.78,1,1,EFHD2
0.000302735484446565,0.1966593203141,0.286,0.173,1,1,FCHO2
0.000302901349034512,0.020069344193094,0.41,0.326,1,1,RAB5A
0.000304052122780958,-0.212603625039417,0.098,0.185,1,1,PAXX
0.000304387216712471,-0.229356319195338,0.139,0.196,1,1,DECR1
