,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5166,2.47747769581195e-11,0.715820835685907,0.654,0.478,4.26027064571822e-07,1,CD40
4513,2.36865493551906e-26,0.711246691258669,0.97,0.85,4.07313902711857e-22,1,CTSH
4557,4.37086196301865e-24,0.710341424211201,0.568,0.238,7.51613423160686e-20,1,MAPRE2
4582,3.63496742344846e-23,0.701886396747297,0.549,0.233,6.25068998136196e-19,1,ARHGEF40
4754,7.99534657056555e-18,0.701662537900469,0.737,0.554,1.37487979627445e-13,1,SCP2
4561,9.36124171937988e-24,0.700656601627759,0.575,0.251,1.60975912606456e-19,1,D17WSU92E
4572,1.6015326538931e-23,0.695759289799964,0.959,0.848,2.75399555163457e-19,1,UCP2
4671,2.20169021613079e-20,0.692876094040614,0.331,0.094,3.7860264956585e-16,1,GSTT3
4446,7.94450005798944e-33,0.687558458299163,0.368,0.065,1.36613622997186e-28,1,HSD3B7
4528,9.64581720495283e-26,0.686330203645004,0.515,0.184,1.65869472656369e-21,1,FLT3
4708,4.43872812427335e-19,0.684376229986164,0.639,0.372,7.63283688250045e-15,1,RAB8B
4576,2.04143138991139e-23,0.684029544358566,0.5,0.196,3.51044541809162e-19,1,PSEN2
4607,2.28993662382655e-22,0.676644660136433,0.68,0.371,3.93777501833213e-18,1,RIOK3
4831,3.76652367389392e-16,0.67455567405612,0.459,0.2,6.47691410962799e-12,1,HIST1H2BC
4521,5.03493883943678e-26,0.673757623467644,0.342,0.074,8.65808082829549e-22,1,PVR
4801,9.38239202348903e-17,0.672393836850327,0.917,0.853,1.61339613235917e-12,1,DUSP1
4646,3.54751130317571e-21,0.670315701404021,0.519,0.222,6.10030043694094e-17,1,PCYT1A
